,loadingOrder,Port,longitude,latitude,longitude_int,latitude_int
176,NZ341631618125,AEJEA,55.059328,24.983977,55,24
177,AK864377735522,AEJEA,55.055228,24.988235,55,24
178,TF791007813302,AEJEA,55.054772,24.990226999999997,55,24
179,MG367197970271,AEJEA,52.048667,25.611333,52,25
180,VU267939042800,AEJEA,55.055167000000004,24.989167000000002,55,24
181,QO194638063452,AEJEA,55.057997,24.991003,55,24
182,MG659952350083,AEJEA,55.057618000000005,24.985988,55,24
183,PH661141312596,AEJEA,52.236483,25.590232999999998,52,25
184,YC111128896387,AEJEA,55.059619999999995,24.983767999999998,55,24
185,DD552070586479,AEJEA,55.05881,24.98528,55,24
186,IR330814709140,AEJEA,55.0583,24.9839,55,24
187,CO683697351484,AEJEA,55.058367000000004,24.98353,55,24
188,VV676365160522,AEJEA,55.058257999999995,24.983547,55,24
189,PM506477523251,AEJEA,55.059307999999994,24.990658,55,24
190,AJ719144254201,AEJEA,55.059355000000004,24.990528,55,24
191,QP435007326072,AEJEA,55.059368000000006,24.983747,55,24
192,MH634962146211,AEJEA,55.058997,24.984047,55,24
193,UQ521620642935,AEJEA,52.244347999999995,25.877851999999997,52,25
194,ZS877726466113,AEJEA,55.05631999999999,24.986635,55,24
195,AI338314636212,AEJEA,55.054545,24.98967,55,24
196,OC538742481615,AEJEA,51.603733,25.02125,51,25
197,RZ255280348565,AEJEA,55.058108,24.98636,55,24
198,XH939360299141,AEJEA,55.059428000000004,24.990522,55,24
199,XK655317832266,AEJEA,55.05881,24.98528,55,24
200,YD476502956737,AEJEA,55.059525,24.990753,55,24
201,IE781908099554,AEJEA,55.055744999999995,24.990353,55,24
202,CO172073706568,AEJEA,55.054646999999996,24.991415,55,24
203,PI398978755450,AEJEA,51.817118,25.290303,51,25
204,DC294347851740,AEJEA,55.05909200000001,24.983792,55,24
205,IZ688153149291,AEJEA,55.055677,24.988387,55,24
206,XP812715779552,AEJEA,55.055677,24.988387,55,24
207,DA854149817633,AEJEA,55.054772,24.990226999999997,55,24
208,VO227836582397,AEJEA,55.055252,24.989437,55,24
209,SE888028689752,AEJEA,55.054717000000004,24.990067,55,24
210,YL335933438376,AEJEA,55.05655,24.990973,55,24
211,UO306675458080,AEJEA,55.055388,24.989458,55,24
212,YR600202134364,AEJEA,55.058877,24.983285000000002,55,24
213,XP787612888112,AEJEA,52.236483,25.590232999999998,52,25
214,ZY724149239691,AEJEA,55.059886999999996,24.990865,55,24
215,UR744364598171,AEJEA,55.059459999999994,24.990752,55,24
216,YM802918001143,AEJEA,52.048667,25.611333,52,25
217,PL380032804095,AEJEA,55.05941800000001,24.984293,55,24
218,KT634284282651,AEJEA,55.059619999999995,24.983767999999998,55,24
219,CB317144857784,AEJEA,55.058032,24.983588,55,24
220,JJ957818153543,AEJEA,52.322783,25.656317,52,25
221,YS165338859539,AEJEA,55.05966,24.991653,55,24
222,YS173295774438,AEJEA,55.05881,24.98528,55,24
223,SH200752027855,AEJEA,55.058043000000005,24.984303,55,24
224,CN221927333794,AEJEA,55.051675,24.989988,55,24
225,YM688990496874,AEJEA,55.055147999999996,24.990717,55,24
226,UB760596406767,AEJEA,55.059206999999994,24.990586999999998,55,24
227,ZZ958783621355,AEJEA,55.058108,24.98636,55,24
228,ZW898830104794,AEJEA,55.05959300000001,24.990755,55,24
229,EQ461565778832,AEJEA,51.605067,25.016633,51,25
230,UR698359981002,AEJEA,55.055528,24.991967000000002,55,24
231,AM346430162665,AEJEA,55.055677,24.98974,55,24
232,NR854205050840,AEJEA,55.055252,24.989437,55,24
233,RX752465133440,AEJEA,52.322783,25.656317,52,25
234,NV620442109880,AEJEA,55.055677,24.988387,55,24
235,LQ984359594220,AEJEA,55.054713,24.989297,55,24
236,GG545379214396,AEJEA,55.059078,24.984192999999998,55,24
237,YM308414118527,AEJEA,51.6052,25.016067,51,25
238,CN620377684860,AEJEA,55.056213,24.993317,55,24
239,SI470638943094,AEJEA,55.058108,24.98636,55,24
240,KU145914477561,AEJEA,55.058823,24.983855,55,24
241,XG711179957703,AEJEA,55.05944,24.990852,55,24
242,UA966399280895,AEJEA,55.059513,24.984215,55,24
243,DG119246066010,AEJEA,55.055677,24.98974,55,24
244,OD647415396529,AEJEA,55.058713,24.984138,55,24
245,HQ442367750941,AEJEA,55.055744999999995,24.990353,55,24
246,XN625401741274,AEJEA,55.058043000000005,24.984303,55,24
247,DG307237046253,AEJEA,55.058997,24.984047,55,24
248,AN345362655084,AEJEA,55.058602,24.983647,55,24
249,IB438936155443,AEJEA,55.058257999999995,24.983547,55,24
250,PN865469904936,AEJEA,55.054628,24.991267999999998,55,24
251,ME539564525173,AEJEA,55.058257999999995,24.983547,55,24
252,MK198307370205,AEJEA,55.055583,24.987322,55,24
253,YC509616557035,AEJEA,55.058068000000006,24.985528,55,24
254,IE370630210683,AEJEA,55.059575,24.990807999999998,55,24
255,JQ948773356530,AFJAA,66.97646,24.8346,66,24
256,FC154378580249,ALDRZ,18.902265,41.524795000000005,18,41
257,UT725181745739,ALDRZ,19.451723,41.310972,19,41
258,XY675736027566,ALDRZ,19.45123,41.309378,19,41
259,NP735452217792,ALDRZ,18.453058,41.710015000000006,18,41
260,VN328776835460,ALDRZ,19.451701999999997,41.310765,19,41
261,UD970414888025,ALDRZ,19.4517,41.310783,19,41
262,LF135211909751,ALDRZ,19.382412,41.168262,19,41
263,FG272125893749,ALEXANDRIA,29.79617,31.14211,29,31
264,RU556916537709,ALEXANDRIA,29.872715000000003,31.1904,29,31
265,JY793694107156,ALEXANDRIA,29.796503,31.141811999999998,29,31
266,JN106089960688,AOLAD,13.270317000000002,-8.785683,13,-8
267,VK375185861604,AOLAD,13.2525,-8.7988,13,-8
268,AQ128645649499,AOLAD,13.252417000000001,-8.79895,13,-8
269,KB648375354426,AOLAD,13.25245,-8.79895,13,-8
270,IT810825472365,AOLAD,13.25245,-8.79895,13,-8
271,SN167400665139,AOLAD,13.252502999999999,-8.798848,13,-8
272,UM989869425854,AOLAD,13.251179999999998,-8.797163000000001,13,-8
273,FZ871758123327,AOLAD,13.2523,-8.7988,13,-8
274,QC998007998633,AOLAD,13.25257,-8.798860000000001,13,-8
275,PR557207515976,AOLAD,13.252426999999999,-8.798907,13,-8
276,YN997591975587,AOLAD,13.252426999999999,-8.798907,13,-8
277,EV502652917635,AOLAD,11.831333,-4.778767,11,-4
278,WR122141397279,AOLAD,13.252526999999999,-8.798753,13,-8
279,YB658008864219,AOLAD,11.831333,-4.778767,11,-4
280,JP182817697081,AOLAD,13.25257,-8.798860000000001,13,-8
281,IG459494191627,AOLAD,13.252482999999998,-8.798717,13,-8
282,WG587516274485,AOLAD,13.252317000000001,-8.798783,13,-8
283,FL977593626119,AOLAD,13.252332999999998,-8.7988,13,-8
284,OL483470642770,AOLAD,13.252217000000002,-8.7989,13,-8
285,BF776153380055,AOLAD,13.252317000000001,-8.797202,13,-8
286,PW887062086848,AOLAD,13.252317000000001,-8.798917,13,-8
287,TZ931559390132,AOLAD,13.306838,-8.798762,13,-8
288,XW983663251262,AOLAD,12.30349,-11.634272,12,-11
289,DJ564832225861,AOLAD,13.252507000000001,-8.798907,13,-8
290,QA847356669191,AQABA,34.559447,28.265468,34,28
291,SC422066701017,ARBUE,-58.37255,-34.577433,-58,-34
292,WD590991462067,ARBUE,-58.37351700000001,-34.577415,-58,-34
293,ER854397217299,ARBUE,-58.3724,-34.577483,-58,-34
294,RT994195209870,ARBUE,-58.37351700000001,-34.577415,-58,-34
295,QJ192569605337,ARBUE,-58.373688,-34.577562,-58,-34
296,QK533355433577,ARBUE,-58.373793000000006,-34.577557,-58,-34
297,BK127471045315,ARBUE,-58.017637,-34.66684,-58,-34
298,TJ420051452377,ARBUE,-58.37351700000001,-34.577415,-58,-34
299,KY903429934099,ARBUE,-58.37351700000001,-34.577415,-58,-34
300,VI831394352797,ARBUE,-58.372317,-34.577467,-58,-34
301,RX842660322464,ARBUE,-58.373743000000005,-34.57747,-58,-34
302,TB325302729664,ARBUE,-58.373473,-34.577268,-58,-34
303,YV228490865596,ARBUE,-58.372533,-34.577365,-58,-34
304,DW551811377267,ARBUE,-58.373712,-34.5775,-58,-34
305,HZ794562554862,ARBUE,-58.373793000000006,-34.577557,-58,-34
306,TP950585895085,ARBUE,-58.373473,-34.577268,-58,-34
307,YI367241100459,ARBUE,-58.373473,-34.577268,-58,-34
308,CY845545728457,ARBUE,-58.372317,-34.577467,-58,-34
309,LV736885071140,ARBUE,-58.371037,-34.577483,-58,-34
310,LC886045047547,ARBUE,-58.35831999999999,-34.586765,-58,-34
311,PD911827258622,ARBUE,-58.372462,-34.577296999999994,-58,-34
312,ZK570930733133,ARBUE,-58.373473,-34.577268,-58,-34
313,LN283917056780,ARBUE,-58.373688,-34.577562,-58,-34
314,WG231339554110,ARBUE,-58.373715000000004,-34.577503,-58,-34
315,BX633511112869,ARENA,-58.371037,-34.577483,-58,-34
316,GF863826819175,ARENA,-56.030117000000004,-35.03985,-56,-35
317,MT677788323282,ARENA,-58.368373,-34.580777000000005,-58,-34
318,FE496950848326,ARENA,-58.371037,-34.577483,-58,-34
319,FE384268912932,ARENA,-58.37364,-34.577413,-58,-34
320,EY307628379051,ARENA,-58.37375,-34.577420000000004,-58,-34
321,DN111744049708,ARENA,-58.3724,-34.57755,-58,-34
322,GM322029814676,ARENA,-58.373647999999996,-34.577517,-58,-34
323,FZ481109895587,ARENA,-58.372533,-34.577365,-58,-34
324,EJ606247409716,ARENA,-58.373780000000004,-34.577543,-58,-34
325,YY314907990848,ARENA,-58.373622,-34.57751,-58,-34
326,GH713404067383,ARENA,-58.373493,-34.57744,-58,-34
327,DC607670091891,ARENA,-58.37246700000001,-34.577433,-58,-34
328,CQ422536381549,ARRAZ,-70.32713299999999,-18.472085,-70,-18
329,DE635882399779,ARRAZ,-70.155387,-20.203643,-70,-20
330,NV213573517194,ARRAZ,-70.32566700000001,-18.468868,-70,-18
331,XH958121684838,ASUNCION,-56.20655,-34.899483000000004,-56,-34
332,VQ813603960237,ASUNCION,-56.20628000000001,-34.899175,-56,-34
333,RE593683303222,AUBNE,153.171213,-27.370315,153,-27
334,BD718387806312,AUBNE,153.17164499999998,-27.369692999999998,153,-27
335,EK285592562250,AUBNE,153.17164499999998,-27.369692999999998,153,-27
336,BX681844491743,AUMEL,144.91330200000002,-37.818868,144,-37
337,MM889707189740,AUMEL,144.9128,-37.819517,144,-37
338,CZ436635654514,AUMEL,144.91358300000002,-37.818417,144,-37
339,PP854690367819,AUMEL,144.910567,-37.852,144,-37
340,TR126933640028,AUMEL,144.91330200000002,-37.818868,144,-37
341,WV625159358023,AUMEL,144.910133,-37.847066999999996,144,-37
342,LO437105903485,AUMEL,144.912875,-37.819604999999996,144,-37
343,QW617394965973,AUMEL,144.913317,-37.8192,144,-37
344,SY135523628597,AUMEL,144.910278,-37.847083000000005,144,-37
345,BZ410837915867,AUSYD,151.20635,-33.970233,151,-33
346,DV625977501181,AUSYD,151.0925,-34.65935,151,-34
347,BN662520953673,AUSYD,151.199967,-33.96445,151,-33
348,XT469783528051,AUSYD,151.19997800000002,-33.964290000000005,151,-33
349,SV123013017861,AUSYD,151.200067,-33.964817,151,-33
350,QJ986889264681,AUSYD,151.199883,-33.96445,151,-33
351,YZ819151194912,AUSYD,151.200017,-33.964667,151,-33
352,VF807816120737,AUSYD,151.21447,-33.970907000000004,151,-33
353,SU545612673826,AUSYD,151.216817,-33.967733,151,-33
354,KO784573731531,AUSYD,151.200055,-33.964046999999994,151,-33
355,GO888224631186,AUSYD,151.199883,-33.96445,151,-33
356,BU437176450183,AUSYD,151.19993300000002,-33.964417,151,-33
357,KO496757526090,AUSYD,151.200152,-33.964634999999994,151,-33
358,MI450698479520,AUSYD,151.19995,-33.964417,151,-33
359,HL509612233614,AUSYD,151.19953,-33.961868,151,-33
360,QW402888443414,AUSYD,151.199545,-33.961828000000004,151,-33
361,MY642929124887,AUSYD,151.200197,-33.964463,151,-33
362,HO995095543602,AUSYD,151.20036000000002,-33.964803,151,-33
363,UP491510628865,AUSYD,151.200067,-33.964817,151,-33
364,QL772002556435,AUSYD,151.199967,-33.964467,151,-33
365,DT820541967028,AUSYD,151.200128,-33.964462,151,-33
366,BK797849191839,AUSYD,151.213867,-33.970933,151,-33
367,OU253500487647,AUSYD,151.208453,-33.969893,151,-33
368,DU109587980630,AUSYD,151.379918,-33.972223,151,-33
369,WV978844117441,AUSYD,151.200182,-33.964573,151,-33
370,YU127429718415,AUSYD,151.213867,-33.970933,151,-33
371,FX577705061334,AUSYD,151.21408,-33.970923,151,-33
372,VI763884766854,AUSYD,152.04666699999999,-33.375523,152,-33
373,KI754288762253,AUSYD,151.199983,-33.964433,151,-33
374,KS425081983287,AUSYD,151.21516699999998,-33.970517,151,-33
375,US524095496268,AUSYD,151.2,-33.964166999999996,151,-33
376,OZ297778893744,AUSYD,151.214488,-33.970745,151,-33
377,DC423169886524,AUSYD,151.2,-33.96445,151,-33
378,MJ579874744292,AUSYD,151.199967,-33.964467,151,-33
379,RD176850891721,AUSYD,151.21516699999998,-33.970517,151,-33
380,ST708249922884,AUSYD,151.200055,-33.964046999999994,151,-33
381,BH594643237758,AUSYD,151.200133,-33.964967,151,-33
382,IQ955996769640,AUSYD,151.269283,-34.78787,151,-34
383,JY975369767325,AUSYD,151.19993300000002,-33.964417,151,-33
384,LV278426028185,AUSYD,151.906927,-33.302493,151,-33
385,JY662544161958,AUSYD,151.20028200000002,-33.964667999999996,151,-33
386,GW592069434744,AUSYD,151.213867,-33.970933,151,-33
387,HA578556296613,AUSYD,151.21616,-33.970333000000004,151,-33
388,RW206020781482,AUSYD,151.200167,-33.9645,151,-33
389,NX629262824506,AUSYD,151.20028200000002,-33.964667999999996,151,-33
390,TG722829102595,AUSYD,151.200083,-33.964783000000004,151,-33
391,LS722526729662,AUSYD,151.19952800000002,-33.961884999999995,151,-33
392,TG654204597900,AUSYD,151.210455,-33.969318,151,-33
393,WA239587987667,AUSYD,151.20015800000002,-33.964428000000005,151,-33
394,SD836433584188,AUSYD,151.08434499999998,-34.739237,151,-34
395,AC114671345691,AUSYD,151.200083,-33.9648,151,-33
396,CL230121935373,AUSYD,151.21516699999998,-33.9705,151,-33
397,EE114867505743,AUSYD,151.219702,-33.969132,151,-33
398,FG123975601833,AUSYD,151.21516699999998,-33.970517,151,-33
399,ZY394670867906,AUSYD,152.12868999999998,-33.239238,152,-33
400,UY715366647563,AUSYD,151.20016999999999,-33.964467,151,-33
401,NJ361149537511,AUSYD,153.547998,-30.378505,153,-30
402,EG464593893299,AUSYD,151.213867,-33.970933,151,-33
403,LT153586845770,AUSYD,151.20028200000002,-33.964667999999996,151,-33
404,BA276890315728,AUSYD,151.199983,-33.964483,151,-33
405,TS108941718252,AUSYD,151.20028200000002,-33.964667999999996,151,-33
406,ZM363322241063,AUSYD,151.200053,-33.96432,151,-33
407,FH898577222713,AUSYD,151.200067,-33.964817,151,-33
408,AY660921441347,AUSYD,151.200083,-33.964783000000004,151,-33
409,FI443224421238,AUSYD,151.2,-33.964166999999996,151,-33
410,RT468761875250,AUSYD,151.21516699999998,-33.970517,151,-33
411,JP395420760174,AUSYD,151.1995,-33.961999999999996,151,-33
412,NT326825239829,AUSYD,151.2173,-33.969967,151,-33
413,RY406081180277,AUSYD,151.21447,-33.970907000000004,151,-33
414,HD188349590953,AUSYD,151.20008700000002,-33.9642,151,-33
415,WR913747934227,AUSYD,151.20028200000002,-33.964667999999996,151,-33
416,VO774783034840,BAKU,29.742721999999997,40.760533,29,40
417,FC338821860033,BANGUI,-3.182107,2.9392,-3,2
418,CZ824208663056,BAR,19.084997,42.086618,19,42
419,UF204387223976,BDCGP,91.801473,22.307907999999998,91,22
420,BS887220908956,BDCGP,91.80032,22.302908,91,22
421,KN302127440991,BDCGP,91.8005,22.09585,91,22
422,CL341529650973,BDCGP,91.80032,22.302908,91,22
423,PL413614701068,BDCGP,91.799678,22.302295,91,22
424,GN151782678632,BDCGP,91.798462,22.300178,91,22
425,VH467506874082,BDCGP,91.8031,22.309018,91,22
426,NC231468842856,BDCGP,91.80330699999999,22.304492,91,22
427,YZ744515891521,BDCGP,91.800087,22.306332,91,22
428,KM508466216167,BDCGP,91.802938,22.308982999999998,91,22
429,ON707883060110,BDCGP,91.798742,22.304613,91,22
430,UC599635336887,BDCGP,91.8005,22.09585,91,22
431,OX811944700218,BDCGP,91.798375,22.300878,91,22
432,IX475397015730,BDCGP,91.798375,22.300878,91,22
433,ZI548570987832,BDCGP,91.80032,22.302908,91,22
434,SP199509838124,BDCGP,91.814503,21.941273000000002,91,21
435,FJ498212768078,BDCGP,91.79401700000001,22.290467,91,22
436,MO389984567383,BDCGP,91.80135,22.303448,91,22
437,SU321494006695,BDCGP,91.793787,22.292293,91,22
438,QZ138813452910,BDCGP,91.814503,21.941273000000002,91,21
439,YB682374289458,BDCGP,91.800263,22.306528,91,22
440,TA691247144774,BDCGP,91.798755,22.304585,91,22
